"deviceId","ts","msgType","payload","qos","retain","topic"
"Harry","2025-11-07T05:23:20.391Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493000000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""245""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:23:20""},""sendTime"":{""S"":""2025-11-07 13:23:20""},""timestamp"":{""N"":""1762493000000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:23:40.660Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493020000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""245""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:23:40""},""sendTime"":{""S"":""2025-11-07 13:23:40""},""timestamp"":{""N"":""1762493020000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:23:49.823Z","spc","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493029000""},""topic"":{""S"":""spc""},""Data"":{""M"":{""ECYCT"":{""N"":""38.84""},""EIPM"":{""N"":""0""},""ET2"":{""N"":""243""},""EFCHT"":{""N"":""5.64""},""ET1"":{""N"":""244""},""EISS"":{""N"":""64.3""},""ET4"":{""N"":""228""},""ET3"":{""N"":""233""},""EIPSMIN"":{""N"":""12.2""},""EPLSPM"":{""N"":""0""},""ET6"":{""N"":""0""},""ET5"":{""N"":""200""},""EIPT"":{""N"":""10.1""},""ESIPP"":{""N"":""0""},""ET7"":{""N"":""0""},""EOT"":{""N"":""31""},""EMOS"":{""N"":""328.3""},""ESIPT"":{""N"":""4""},""ESIPS"":{""N"":""17.7""},""EIPSE"":{""N"":""12.4""},""EPLST"":{""N"":""8.93""},""EIVM"":{""N"":""28""},""CYCN"":{""N"":""124""}}},""time"":{""S"":""2025-11-07 13:23:49""},""sendTime"":{""S"":""2025-11-07 13:23:49""},""timestamp"":{""N"":""1762493029000""}}","1","false","/YLCY/IMM/Harry/spc"
"Harry","2025-11-07T05:24:00.311Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493040000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""242""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:24:00""},""sendTime"":{""S"":""2025-11-07 13:24:00""},""timestamp"":{""N"":""1762493040000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:27:13.010Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493220000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""243""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:27:00""},""sendTime"":{""S"":""2025-11-07 13:27:00""},""timestamp"":{""N"":""1762493220000""}}","1","true","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:27:13.011Z","wm","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762491204000""},""topic"":{""S"":""wm""},""Data"":{""M"":{""wmMsg"":{""S"":""""},""wmId"":{""N"":""0""},""wmTime"":{""S"":""2025-11-07 12:53:23""}}},""time"":{""S"":""2025-11-07 12:53:24""},""sendTime"":{""S"":""2025-11-07 12:53:24""},""timestamp"":{""N"":""1762491204000""}}","1","true","/YLCY/IMM/Harry/wm"
"Harry","2025-11-07T05:27:21.041Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493240000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""246""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:27:20""},""sendTime"":{""S"":""2025-11-07 13:27:20""},""timestamp"":{""N"":""1762493240000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:27:40.287Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493260000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""242""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:27:40""},""sendTime"":{""S"":""2025-11-07 13:27:40""},""timestamp"":{""N"":""1762493260000""}}","1","false","/YLCY/IMM/Harry/realtime"
"Harry","2025-11-07T05:27:42.920Z","spc","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493262000""},""topic"":{""S"":""spc""},""Data"":{""M"":{""ECYCT"":{""N"":""38.84""},""EIPM"":{""N"":""0""},""ET2"":{""N"":""243""},""EFCHT"":{""N"":""5.65""},""ET1"":{""N"":""242""},""EISS"":{""N"":""64.4""},""ET4"":{""N"":""228""},""ET3"":{""N"":""233""},""EIPSMIN"":{""N"":""12""},""EPLSPM"":{""N"":""0""},""ET6"":{""N"":""0""},""ET5"":{""N"":""200""},""EIPT"":{""N"":""10.1""},""ESIPP"":{""N"":""0""},""ET7"":{""N"":""0""},""EOT"":{""N"":""31""},""EMOS"":{""N"":""328.3""},""ESIPT"":{""N"":""4""},""ESIPS"":{""N"":""18.4""},""EIPSE"":{""N"":""12.3""},""EPLST"":{""N"":""8.88""},""EIVM"":{""N"":""29""},""CYCN"":{""N"":""130""}}},""time"":{""S"":""2025-11-07 13:27:42""},""sendTime"":{""S"":""2025-11-07 13:27:42""},""timestamp"":{""N"":""1762493262000""}}","1","false","/YLCY/IMM/Harry/spc"
"Harry","2025-11-07T05:28:00.959Z","realtime","{""devId"":{""S"":""Harry""},""sendStamp"":{""N"":""1762493280000""},""topic"":{""S"":""realtime""},""Data"":{""M"":{""T4"":{""N"":""228""},""T5"":{""N"":""200""},""T6"":{""N"":""0""},""STS"":{""N"":""2""},""T7"":{""N"":""0""},""OT"":{""N"":""31""},""OPM"":{""N"":""3""},""T1"":{""N"":""244""},""T2"":{""N"":""243""},""ASTS"":{""N"":""0""},""T3"":{""N"":""233""}}},""time"":{""S"":""2025-11-07 13:28:00""},""sendTime"":{""S"":""2025-11-07 13:28:00""},""timestamp"":{""N"":""1762493280000""}}","1","false","/YLCY/IMM/Harry/realtime"
